title,publishedAt,channelTitle,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country
"Kabhi Main Kabhi Tum Mega Last Episode | Fahad Mustafa | Hania Aamir | 5 Nov 2024 (Eng Sub)","2024-11-05T16:00:07Z","ARY Digital HD","Entertainment","""watch Kabhi Main Kabhi Tum last ep 34|kabhi main kabhi tum last episode|new drama kabhi mein kabhi tum mega episode|New drama Fahad Mustafa kabhi main kabhi tum|Kabhi Main Kabhi Tum mega last episode|ARY Digital|Fahad Mustafa|Hania Aamir|Pakistani drama 2024 Kabhi Main Kabhi Tum last ep 34|latest episode 34 kabhi mein kabhi tum|new episode kabhi mein kabhi tum|hania amir new drama|Pakistani serial|watch Kabhi Main Kabhi Tum ep 34|Kabhi Main Kabhi Tum episod 34""","57.98","none","20662973","700634","69559","58900000","0.03727406506314459","57715160545","PK"
"Baby John - Taster Cut | Atlee | Varun Dhawan, Keerthy Suresh, Wamiqa G, Jackie Shroff | 25th Dec","2024-11-04T05:33:43Z","JioStudios","Entertainment","""Jio Studios|Jio Cinema|Jio Saavn|Jio TV|Babbar Sher|Baby John|Baby John Varun Dhawan|Keerthy Suresh|WamiqaGabbi|Jackie Shroff|Rajpal Yadav|baby john teaser|babay john trailer|baby john promo|baby john movie|Varun Dhawan|Atlee|atlee movie|Jawan|atlee baby john|A. Kaleeswaran|baby John taster cut|taster cut|taster cut baby john|baby john official trailer|baby john first look""","1.97","none","27185242","413045","27409","863000","0.01620195251526545","540683475","IN"
"AJJUBHAI VS MUNNABHAI FREE FIRE LAST MATCH | AUKAT KI BAAT #1","2024-11-05T04:00:12Z","Total Gaming","Gaming","""Free Fire|Total Gaming|Ajjubhai|Garena Free Fire""","50.3","none","2945667","301090","20295","43800000","0.1091043217037092","4599455548","IN"
"Australia v Pakistan | First ODI | ODI Series 2024-25","2024-11-04T11:10:00Z","cricket.com.au","Sports","""ausvpak""","8.23","none","5356907","94979","4110","9350000","0.018497427713417464","5114337811","AU"
"Bhairathi Ranagal Official Trailer | DR.Shiva Rajkumar|GeethaSRK|Narthan|Ravi Basrur|Rukmini Vasanth","2024-11-05T05:57:25Z","Anand Audio","Entertainment","""Dr Shiva Rajkumar|Shiva Rajkumar Birthday|Mufti Shivanna|Karunada Chakravathi shivanna|shivarajkumar songs|ravi basruru music|Bhairathi Ranagal shivanna|Bhairathi Ranagal ravi basruru|Bhairathi Ranagal narthan|Bhairathi Ranagal sriimurali|Bhairathi Ranagal trailer|Bhairathi Ranagal songs|Bhairathi Ranagal audio song|Bhairathi Ranagal bgm|Bhairathi Ranagal teaser ost|bhairathi ranagal teaser|official trailer|new trailers|bhairathi ranagal|bairati ranagal""","2.53","none","3992190","82979","4230","12800000","0.021844902171489836","9848949458","IN"
"Trying Dumbest ""Smart"" Robots","2024-11-04T13:59:34Z","Slayy Point","Comedy","""slayy point|slayypop|abhyudaya|gautami|funny video""","14.97","none","2990026","166083","4796","8940000","0.057149670270425744","2491608514","IN"
"Iniya Serial | EP 646 Highlights | 3rd Nov 24 | Alya Manasa | Rishi | Saregama TV Shows Tamil","2024-11-03T17:00:26Z","Saregama TV Shows Tamil","Entertainment","""saregama tv shows tamil|sun tv serial|sun tv new serial|iniya serial|alya manasa new serial|Iniya Highlights|Iniya Episode Highlights|Sun tv Serial highlights|Iniya|Tamil Serial Sun tv|Sun tv Serial|Iniya Serial Highlights|Iniya Serial Latest Episodes|Saregama TV Shows Tamil|Alya Manasa|Iniya episode 646|iniya episode highlights 646|Iniya 646 Highlights|Iniya 646 Shorts|Iniys Serial Promo|Iniys Sun tv|Iniya Serial Sun Tv|Iniya 646""","10.72","none","1775025","24128","726","8700000","0.01400205630906607","10481702263","IN"
"Azaad Official Teaser | Ajay D | Abhishek K | Aaman D | Rasha T | Ronnie S | Pragya K | Jan 2025","2024-11-05T08:31:23Z","RSVP Movies","Entertainment","""Azaad|Aazad|AjayDevgn|AamanDevgan|RashaThadani|AbhishekKapoor|RonnieScrewvala|PragyaKapoor|RSVP|RSVPMovies|AzaadTrailer|AazadTrailer""","1.8","none","8231557","53283","2102","707000","0.006728374716958164","501365912","IN"
"Unstoppable With NBK S4 E3 Promo | Suriya, Bobby deol | Singham Meets Samarasimham | Nov 08","2024-11-05T04:30:06Z","aha videoIN","Entertainment","""Unstoppable|Unstoppable with NBK|unstoppable|balakrishna|unstoppable latest promo|unstoppable promo|unstoppable 4|unstoppable with prabhas|unstoppable episodes|unstoppable with cbn|unstoppable with cbn promo|balakrishna unstoppable|unstoppable latest promo season 4|unstoppable with mahesh|DulquerSalmaan|lucky bhaskar|dulquer on unstoppable|telugu talk show|surya unstoppable|kanguva|surya kanguva movie|surya in unstoppable|unstoppable with surya|bobby deol""","4.53","none","1929849","65908","1142","3010000","0.03474365092812961","1890355128","IN"
"#Video | घटिये स्वर्ग लागेला | #Pawan Singh | Ghatiye Swarg Lagela | Chandani | New Chhath Song 2024","2024-11-05T17:30:05Z","Pawan Singh Official","Music","""Pawan Singh|pawan singh new chhath song|pawan singh new chhath song 2024|pawan singh new chhath puja song|pawan singh new chhath geet|new chhath geet|pawan singh chhath song new|pawan singh chhath song 2024|pawan singh chhath puja song|pawan singh chhath puja geet|pawan singh new song|pawan singh new song chhath|pawan singh chhath puja|chhath puja song|chhath puja song 2024|chhath puja all songs|chhath geet pawan singh|Ghatiye Swarg Lagela""","4.13","none","1473323","149490","19493","5150000","0.11469514831438864","1374557142","IN"
